,1,2,3.0,Page Level 4,Page Layout,Existing / Additional Page ?,Inspiration / Current URL (if existing page),Who should write the content?,Notes,Target Keyword,SV,KWD,Additional KWs,Old H1,New Header,Old Title,New Title,Chars (50-65),URL,Old Metas,New Meta Description,Chars (130-160),Type of Content ,Notes,"Original URL 
(if rewritten) ",Document Link,Notes,PSD,Des. URL,Notes,Dev. URL,Date Published ,Live URL ,map_id,map_data,meta_tag,H1_tag,New Header ,Extracted Text,Meta_Link,H1_Link,Article_Link,Title_Link,Page_type,H1_id,H1_com,Meta_id,Meta_com,Article_link,Article_id,Title_id,Title_com,H1_Updated_DB,Meta_Updated_DB,Title_Updated_DB,Fields_Tables_D
10,,Hacks/Cracks,,,,Existing Page,https://linuxsecurity.com/news/hackscracks,,,Linux Hacks & Cracks,,,,Hacks/Cracks,Linux Hacks & Cracks,Hacks/Cracks | LinuxSecurity.com,"Stay Informed about Linux Hacks, Cracks, & Vulnerabilities",58,https://linuxsecurity.com/news/hackscracks,"Hacks/Cracks We have thousands of Hacks/Cracks posts on a wide variety of open source and security topics, conveniently organized for searching or just browsing","Exploring the realm of Linux hacks & cracks. Stay informed, secure, and ahead with insights and strategies against vulnerabilities.",131,Website Page,,,,,,,,,,,10,"['SP Page Builder Module', 'xu5gc_sppagebuilder - `text`', 'xu5gc_menu - `params`']",True,False,Linux Hacks & Cracks,hackscracks,index.php?option=com_menu&view=metadescription&id=589,index.php?option=com_sppagebuilder&view=page&id=17,,index.php?option=com_menu&view=item&client_id=0&layout=edit&id=589,SP Page Builder Module,17,xu5gc_sppagebuilder,589,xu5gc_menu,,,589,xu5gc_menu,False,True,True,False
11,,IoT Security,,,,Existing Page,https://linuxsecurity.com/news/iot-security,,,IoT Security,,,,IoT Security,IoT Security,IoT Security | LinuxSecurity.com,Stay Ahead in IoT security wtih Linux Security's Experts,56,https://linuxsecurity.com/news/iot-security,IoT Security LinuxSecurity.com is the community's central source for information on Linux and open source security. We follow the open source trends as they aff,"Shielding your IoT devices with Linux security prowess. Navigate the complexities, fortify defenses, and stay ahead in IoT security.",132,Website Page,,,,,,,,,,,11,"['SP Page Builder Module', 'xu5gc_sppagebuilder - `text`', 'xu5gc_menu - `params`']",True,False,IoT Security,iot-security,index.php?option=com_menu&view=metadescription&id=680,index.php?option=com_sppagebuilder&view=page&id=249,,index.php?option=com_menu&view=item&client_id=0&layout=edit&id=680,SP Page Builder Module,249,xu5gc_sppagebuilder,680,xu5gc_menu,,,680,xu5gc_menu,False,True,True,False
12,,Network Security,,,,Existing Page,https://linuxsecurity.com/news/network-security,,,Linux Network Security,,,,Network Security,Linux Network Security,Network Security | LinuxSecurity.com,Insights and Strategies in to Linux Network Security,52,https://linuxsecurity.com/news/network-security,Network Security LinuxSecurity.com is the community's central source for information on Linux and open source security. We follow the open source trends as they,Empowering your network's defense with Linux expertise. Stay fortified against threats with insights and strategies in Linux network security.,142,Website Page,,,,,,,,,,,12,"['SP Page Builder Module', 'xu5gc_sppagebuilder - `text`', 'xu5gc_menu - `params`']",True,False,Linux Network Security,network-security,index.php?option=com_menu&view=metadescription&id=681,index.php?option=com_sppagebuilder&view=page&id=251,,index.php?option=com_menu&view=item&client_id=0&layout=edit&id=681,SP Page Builder Module,251,xu5gc_sppagebuilder,681,xu5gc_menu,,,681,xu5gc_menu,False,True,True,False
13,,Organizations/Events,,,,Existing Page,https://linuxsecurity.com/news/organizations-events,,,Organizations/Events,,,,Organizations/Events,Organizations/Events,Organizations/Events | LinuxSecurity.com,Updates on Open Source Organizations and Events ,48,https://linuxsecurity.com/news/organizations-events,Organizations/Events LinuxSecurity.com is the community's central source for information on Linux and open source security. We follow the open source trends as,"Discovering the pulse of Linux security in organizations and events. Stay connected, informed, and at the forefront of industry happenings",138,Website Page,,,,,,,,,,,13,"['SP Page Builder Module', 'xu5gc_sppagebuilder - `text`', 'xu5gc_menu - `params`']",True,False,Organizations/Events,organizations-events,index.php?option=com_menu&view=metadescription&id=682,index.php?option=com_sppagebuilder&view=page&id=252,,index.php?option=com_menu&view=item&client_id=0&layout=edit&id=682,SP Page Builder Module,252,xu5gc_sppagebuilder,682,xu5gc_menu,,,682,xu5gc_menu,False,True,True,False
14,,Privacy,,,,Existing Page,https://linuxsecurity.com/news/privacy,,,Linux Privacy,,,,Privacy,Linux Privacy,Privacy | LinuxSecurity.com,Using Linux Privacy to Protect Your Digital Footprint,53,https://linuxsecurity.com/news/privacy,Privacy Posts on Privacy by Linux Security : We have thousands of posts on a wide variety of open source and security topics,"Championing privacy in the Linux realm. Unlock insights, tools, and strategies to safeguard your digital footprint with Linux privacy expertise.",144,Website Page,,,,,,,,,,,14,"['SP Page Builder Module', 'xu5gc_sppagebuilder - `text`', 'xu5gc_menu - `params`']",True,False,Linux Privacy,privacy,index.php?option=com_menu&view=metadescription&id=590,index.php?option=com_sppagebuilder&view=page&id=23,,index.php?option=com_menu&view=item&client_id=0&layout=edit&id=590,SP Page Builder Module,23,xu5gc_sppagebuilder,590,xu5gc_menu,,,590,xu5gc_menu,False,True,True,False
15,,Security Projects,,,,Existing Page,https://linuxsecurity.com/news/security-projects,,,Security Projects,,,,Security Projects,Security Projects,Security Projects | LinuxSecurity.com,Explore the Newest Security Projects Shaping Linux Security,59,https://linuxsecurity.com/news/security-projects,Security Projects LinuxSecurity.com is the community's central source for information on Linux and open source security. We follow the open source trends as the,"Exploring innovative security projects within Linux. Dive into cutting-edge initiatives, insights, and contributions shaping the future of security.",148,Website Page,,,,,,,,,,,15,"['SP Page Builder Module', 'xu5gc_sppagebuilder - `text`', 'xu5gc_menu - `params`']",True,False,Security Projects,security-projects,index.php?option=com_menu&view=metadescription&id=592,index.php?option=com_sppagebuilder&view=page&id=25,,index.php?option=com_menu&view=item&client_id=0&layout=edit&id=592,SP Page Builder Module,25,xu5gc_sppagebuilder,592,xu5gc_menu,,,592,xu5gc_menu,False,True,True,False
16,,Security Trends,,,,Existing Page,https://linuxsecurity.com/news/security-trends,,,Security Trends,,,,Security Trends,Security Trends,Security Trends | LinuxSecurity.com,Keep Up-to-Date with the Newest Evolving Security Trends,56,https://linuxsecurity.com/news/security-trends,Security Trends Linux security trends,"Unveiling the pulse of security trends within Linux. Stay ahead with insights, analysis, and foresight into evolving security landscapes.",137,Website Page,,,,,,,,,,,16,"['SP Page Builder Module', 'xu5gc_sppagebuilder - `text`', 'xu5gc_menu - `params`']",True,False,Security Trends,security-trends,index.php?option=com_menu&view=metadescription&id=683,index.php?option=com_sppagebuilder&view=page&id=253,,index.php?option=com_menu&view=item&client_id=0&layout=edit&id=683,SP Page Builder Module,253,xu5gc_sppagebuilder,683,xu5gc_menu,,,683,xu5gc_menu,False,True,True,False
17,,Security Vulnerabilities,,,,Existing Page,https://linuxsecurity.com/news/security-vulnerabilities,,,Security Vulnerabilities,,,,Security Vulnerabilities,Security Vulnerabilities,Security Vulnerabilities | LinuxSecurity.com,Stay Informed on the Newest Security Vulnerabilities,52,https://linuxsecurity.com/news/security-vulnerabilities,Security Vulnerabilities Linux security vulnerabilities in the news,"Spotlighting critical security vulnerabilities in Linux. Stay informed, proactive, and fortified against emerging risks with expert insights.",141,Website Page,,,,,,,,,,,17,"['SP Page Builder Module', 'xu5gc_sppagebuilder - `text`', 'xu5gc_menu - `params`']",True,False,Security Vulnerabilities,security-vulnerabilities,index.php?option=com_menu&view=metadescription&id=684,index.php?option=com_sppagebuilder&view=page&id=254,,index.php?option=com_menu&view=item&client_id=0&layout=edit&id=684,SP Page Builder Module,254,xu5gc_sppagebuilder,684,xu5gc_menu,,,684,xu5gc_menu,False,True,True,False
18,,Server Security,,,,Existing Page,https://linuxsecurity.com/news/server-security,,,Server Security,,,,Server Security,Server Security,Server Security | LinuxSecurity.com,Secure Your Server with Linux Security Expert Insights,54,https://linuxsecurity.com/news/server-security,Server Security Posts on Server Security by Linux Security : We have thousands of posts on a wide variety of open source and security topics,"Fortify your servers with Linux security expertise. Stay ahead, fortified, and resilient against threats with expert insights and strategies.",141,Website Page,,,,,,,,,,,18,"['SP Page Builder Module', 'xu5gc_sppagebuilder - `text`', 'xu5gc_menu - `params`']",True,False,Server Security,server-security,index.php?option=com_menu&view=metadescription&id=594,index.php?option=com_sppagebuilder&view=page&id=27,,index.php?option=com_menu&view=item&client_id=0&layout=edit&id=594,SP Page Builder Module,27,xu5gc_sppagebuilder,594,xu5gc_menu,,,594,xu5gc_menu,False,True,True,False
19,,Vendors/Products,,,,Existing Page,https://linuxsecurity.com/news/vendors-products,,,Vendors/Products,,,,Vendors/Products,Vendors/Products,Vendors/Products | LinuxSecurity.com,Updates on Open Source Vendors and Products ,44,https://linuxsecurity.com/news/vendors-products,"Vendors/Products We have thousands of Vendors/Products posts on a wide variety of open source and security topics, conveniently organized for searching or just","Exploring the landscape of Linux security vendors and products. Discover innovations, comparisons, and insights to bolster your security solutions.",147,Website Page,,,,,,,,,,,19,"['SP Page Builder Module', 'xu5gc_sppagebuilder - `text`', 'xu5gc_menu - `params`']",True,False,Vendors/Products,vendors-products,index.php?option=com_menu&view=metadescription&id=593,index.php?option=com_sppagebuilder&view=page&id=26,,index.php?option=com_menu&view=item&client_id=0&layout=edit&id=593,SP Page Builder Module,26,xu5gc_sppagebuilder,593,xu5gc_menu,,,593,xu5gc_menu,False,True,True,False
20,,Expert Analysis,,,,Rejected Suggestion ,"if applicable, inspiration from https://www.helpnetsecurity.com/view/articles/",,,Linux Expert Analysis,,,,,Linux Expert Analysis,,Linux Expert Analysis - Linux Security,38,,,"Insights from Linux security experts. Dive deep into expert analysis, strategies, and recommendations for robust security at Linux Security",139,,,,,,,,,,,,20,"['SP Page Builder Module', 'xu5gc_sppagebuilder - `text`', 'xu5gc_menu - `params`']",False,False,Linux Expert Analysis,,,,,,,,,,,,,,,False,False,False,False
21,,IT Management,,,,Rejected Suggestion ,"if applicable, inspiration from https://www.linuxtoday.com/it-management/",,,IT Management,,,,,IT Management,,IT Management - Linux Security,30,,,"Navigate IT management through a security lens. Insights, strategies, and best practices for a fortified IT landscape at Linux Security.",136,,,,,,,,,,,,21,"['SP Page Builder Module', 'xu5gc_sppagebuilder - `text`', 'xu5gc_menu - `params`']",False,False,IT Management,,,,,,,,,,,,,,,False,False,False,False
22,,Storage,,,,Rejected Suggestion ,"if applicable, inspiration from https://www.linuxtoday.com/storage/",,,Linux Storage,,,,,Linux Storage,,Linux Storage - Linux Security,30,,,"Securing storage in the Linux realm. Expert insights, strategies, and best practices for fortified and resilient storage systems at Linux Security.",147,,,,,,,,,,,,22,"['SP Page Builder Module', 'xu5gc_sppagebuilder - `text`', 'xu5gc_menu - `params`']",False,False,Linux Storage,,,,,,,,,,,,,,,False,False,False,False
23,,Mobile,,,,Rejected Suggestion ,"if applicable, inspiration from https://www.linuxinsider.com/section/mobile",,,Linux Mobile,,,,,Linux Mobile,,Linux Mobile - Linux Security,29,,,"Securing the mobile frontier in Linux. Explore insights, strategies, and innovations for robust security in the realm of Linux Mobile at Linux Security",151,,,,,,,,,,,,23,"['SP Page Builder Module', 'xu5gc_sppagebuilder - `text`', 'xu5gc_menu - `params`']",False,False,Linux Mobile,mobile,,,,,,,,,,,,,,False,False,False,False
24,Advisories,,,,,Existing Page,https://linuxsecurity.com/advisories,,,Advisories,,,,LinuxSecurity Advisories - Page 1,Linux Security Advisories,,Stay Vigilant with Timely Linux Security Advisories,51,https://linuxsecurity.com/advisories,LinuxSecurity Advisories - Page 1 LinuxSecurity.com is the community's central source for information on Linux and open source security. We follow the open sour,"Stay vigilant with comprehensive Linux security advisories. Timely alerts, insights, and actions to fortify your systems against emerging threats.",146,Website Page,,,,,,,,,,,24,"['SP Page Builder Module', 'xu5gc_sppagebuilder - `text`', 'xu5gc_menu - `params`']",True,False,Linux Security Advisories,advisories,index.php?option=com_menu&view=metadescription&id=108,index.php?option=com_sppagebuilder&view=page&id=43,,index.php?option=com_menu&view=item&client_id=0&layout=edit&id=108,SP Page Builder Module,43,xu5gc_sppagebuilder,108,xu5gc_menu,,,108,xu5gc_menu,False,True,True,False
25,,ArchLinux Linux Distribution,,,,Existing Page,https://linuxsecurity.com/advisories/archlinux,,,ArchLinux Linux Distribution,,,,ArchLinux Linux Distribution,Advisory: ArchLinux Essential and Critical Security Patch Updates,ArchLinux Linux Distribution - Security Advisories | LinuxSecurity.com,ArchLinux Essential and Critical Security Patch Updates,55,https://linuxsecurity.com/advisories/archlinux,ArchLinux Linux Distribution - Security Advisories LinuxSecurity.com is the community's central source for information on Linux and open source security. We fol,"Critical security updates for ArchLinux. Stay protected with essential patches, ensuring your Linux distribution stays secure and robust.",137,Website Page,,,,,,,,,,,25,"['SP Page Builder Module', 'xu5gc_sppagebuilder - `text`', 'xu5gc_menu - `params`']",False,False,Advisory: ArchLinux Essential and Critical Security Patch Updates,archlinux,,index.php?option=com_sppagebuilder&view=page&id=45,,,SP Page Builder Module,45,xu5gc_sppagebuilder,,,,,,,False,False,False,False
26,,CentOS Linux Distribution,,,,Existing Page,https://linuxsecurity.com/advisories/centos,,,CentOS Linux Distribution,,,,CentOS Linux Distribution,Advisory: CentOS Essential and Critical Security Patch Updates,CentOS Linux Distribution - Security Advisories | LinuxSecurity.com,CentOS Essential and Critical Security Patch Updates,52,https://linuxsecurity.com/advisories/centos,CentOS Linux Distribution - Security Advisories LinuxSecurity.com is the community's central source for information on Linux and open source security. We follow,"Critical security updates for CentOS. Strengthen your CentOS Linux distribution with essential patches, ensuring robust protection.",131,Website Page,,,,,,,,,,,26,"['SP Page Builder Module', 'xu5gc_sppagebuilder - `text`', 'xu5gc_menu - `params`']",False,False,Advisory: CentOS Essential and Critical Security Patch Updates,centos,,index.php?option=com_sppagebuilder&view=page&id=50,,,SP Page Builder Module,50,xu5gc_sppagebuilder,,,,,,,False,False,False,False
27,,Debian Linux Distribution,,,,Combine Pages,https://linuxsecurity.com/advisories/debian,,,Debian Linux Distribution,,,,Debian Linux Distribution,Advisory: Debian Essential and Critical Security Patch Updates,Debian Linux Distribution - Security Advisories - Page 1 | LinuxSec...,Debian Essential and Critical Security Patch Updates,52,https://linuxsecurity.com/advisories/debian,Debian Linux Distribution - Security Advisories - Page 1 LinuxSecurity.com is the community's central source for information on Linux and open source security.,"Vital security updates for Debian. Safeguard your Debian Linux distribution with essential patches, ensuring a fortified and secure system",138,Website Page,,,,,,,,,,,27,"['SP Page Builder Module', 'xu5gc_sppagebuilder - `text`', 'xu5gc_menu - `params`']",False,False,Advisory: Debian Essential and Critical Security Patch Updates,debian,,index.php?option=com_sppagebuilder&view=page&id=52,,,SP Page Builder Module,52,xu5gc_sppagebuilder,,,,,,,False,False,False,False
28,,Debian Linux Distribution,,,,Combine Pages,https://linuxsecurity.com/advisories/debian/,,"duplicate, consider redirect to https://linuxsecurity.com/advisories/debian",Debian Linux Distribution,,,,Debian Linux Distribution,,Debian Linux Distribution - Security Advisories - Page 1 | LinuxSec...,,0,https://linuxsecurity.com/advisories/debian/,Debian Linux Distribution - Security Advisories - Page 1 LinuxSecurity.com is the community's central source for information on Linux and open source security.,,,Website Page,,,,,,,,,,,28,"['SP Page Builder Module', 'xu5gc_sppagebuilder - `text`', 'xu5gc_menu - `params`']",False,False,,,,index.php?option=com_sppagebuilder&view=page&id=52,,,SP Page Builder Module,52,xu5gc_sppagebuilder,,,,,,,False,False,False,False
29,,Debian LTS Linux Distribution,,,,Existing Page,https://linuxsecurity.com/advisories/deblts,,,Debian LTS Linux Distribution,,,,Debian LTS Linux Distribution,Advisory: Debian LTS Essential and Critical Security Patch Updates,Debian LTS Linux Distribution - Security Advisories - Page 1 | Linu...,Debian LTS Essential and Critical Security Patch Updates,56,https://linuxsecurity.com/advisories/deblts,Debian LTS Linux Distribution - Security Advisories - Page 1 LinuxSecurity.com is the community's central source for information on Linux and open source securi,Critical security patches for Debian LTS. Fortify your Debian LTS Linux distribution against vulnerabilities with essential updates.,132,Website Page,,,,,,,,,,,29,"['SP Page Builder Module', 'xu5gc_sppagebuilder - `text`', 'xu5gc_menu - `params`']",False,False,Advisory: Debian LTS Essential and Critical Security Patch Updates,deblts,,index.php?option=com_sppagebuilder&view=page&id=51,,,SP Page Builder Module,51,xu5gc_sppagebuilder,,,,,,,False,False,False,False
30,,Fedora Linux Distribution,,,,Existing Page,https://linuxsecurity.com/advisories/fedora,,,Fedora Linux Distribution,,,,Fedora Linux Distribution,Advisory: Fedora Essential and Critical Security Patch Updates,Fedora Linux Distribution - Security Advisories - Page 1 | LinuxSec...,Fedora Essential and Critical Security Patch Updates,52,https://linuxsecurity.com/advisories/fedora,Fedora Linux Distribution - Security Advisories - Page 1 LinuxSecurity.com is the community's central source for information on Linux and open source security.,"Stay secure with Fedora updates. Essential patches fortify your Fedora Linux distribution, ensuring robust protection against vulnerabilities.",142,Website Page,,,,,,,,,,,30,"['SP Page Builder Module', 'xu5gc_sppagebuilder - `text`', 'xu5gc_menu - `params`']",False,False,Advisory: Fedora Essential and Critical Security Patch Updates,fedora,,index.php?option=com_sppagebuilder&view=page&id=53,,,SP Page Builder Module,53,xu5gc_sppagebuilder,,,,,,,False,False,False,False
31,,Gentoo Linux Distribution,,,,Existing Page,https://linuxsecurity.com/advisories/gentoo,,,Gentoo Linux Distribution,,,,Gentoo Linux Distribution,Advisory: Gentoo Essential and Critical Security Patch Updates,Gentoo Linux Distribution - Security Advisories | LinuxSecurity.com,Gentoo Essential and Critical Security Patch Updates,52,https://linuxsecurity.com/advisories/gentoo,Gentoo Linux Distribution - Security Advisories LinuxSecurity.com is the community's central source for information on Linux and open source security. We follow,"Critical security updates for Gentoo. Safeguard your Gentoo Linux distribution with essential patches, ensuring resilient protection.",133,Website Page,,,,,,,,,,,31,"['SP Page Builder Module', 'xu5gc_sppagebuilder - `text`', 'xu5gc_menu - `params`']",False,False,Advisory: Gentoo Essential and Critical Security Patch Updates,gentoo,,index.php?option=com_sppagebuilder&view=page&id=54,,,SP Page Builder Module,54,xu5gc_sppagebuilder,,,,,,,False,False,False,False
32,,Mageia Linux Distribution,,,,Existing Page,https://linuxsecurity.com/advisories/mageia,,,Mageia Linux Distribution,,,,Mageia Linux Distribution,Advisory: Mageia Essential and Critical Security Patch Updates,Mageia Linux Distribution - Security Advisories - Page 1 | LinuxSec...,Mageia Essential and Critical Security Patch Updates,52,https://linuxsecurity.com/advisories/mageia,Mageia Linux Distribution - Security Advisories - Page 1 Mageia Linux Distribution - Security Advisories by Linux Security,"Critical security updates for Mageia. Strengthen your Mageia Linux distribution with essential patches, ensuring a fortified and secure system.",143,Website Page,,,,,,,,,,,32,"['SP Page Builder Module', 'xu5gc_sppagebuilder - `text`', 'xu5gc_menu - `params`']",False,False,Advisory: Mageia Essential and Critical Security Patch Updates,mageia,,index.php?option=com_sppagebuilder&view=page&id=55,,,SP Page Builder Module,55,xu5gc_sppagebuilder,,,,,,,False,False,False,False
33,,Oracle Linux Distribution,,,,Existing Page,https://linuxsecurity.com/advisories/oracle,,,Oracle Linux Distribution,,,,Oracle Linux Distribution,Advisory: Oracle Essential and Critical Security Patch Updates,Oracle Linux Distribution - Security Advisories | LinuxSecurity.com,Oracle Essential and Critical Security Patch Updates,52,https://linuxsecurity.com/advisories/oracle,Oracle Linux Distribution - Security Advisories LinuxSecurity.com is the community's central source for information on Linux and open source security. We follow,"Vital security updates for Oracle. Safeguard your Oracle Linux distribution with essential patches, ensuring robust protection against vulnerabilities.",151,Website Page,,,,,,,,,,,33,"['SP Page Builder Module', 'xu5gc_sppagebuilder - `text`', 'xu5gc_menu - `params`']",False,False,Advisory: Oracle Essential and Critical Security Patch Updates,oracle,,index.php?option=com_sppagebuilder&view=page&id=805,,,SP Page Builder Module,805,xu5gc_sppagebuilder,,,,,,,False,False,False,False
34,,openSUSE Linux Distribution,,,,Combine Pages,https://linuxsecurity.com/advisories/opensuse,,,openSUSE Linux Distribution,,,,openSUSE Linux Distribution,Advisory: openSUSE Essential and Critical Security Patch Updates,openSUSE Linux Distribution - Security Advisories - Page 1 | LinuxS...,openSUSE Essential and Critical Security Patch Updates,54,https://linuxsecurity.com/advisories/opensuse,openSUSE Linux Distribution - Security Advisories - Page 1 LinuxSecurity.com is the community's central source for information on Linux and open source security,"Critical security updates for openSUSE. Strengthen your openSUSE Linux distribution with essential patches, ensuring fortified protection.",138,Website Page,,,,,,,,,,,34,"['SP Page Builder Module', 'xu5gc_sppagebuilder - `text`', 'xu5gc_menu - `params`']",False,False,Advisory: openSUSE Essential and Critical Security Patch Updates,opensuse,,index.php?option=com_sppagebuilder&view=page&id=61,,,SP Page Builder Module,61,xu5gc_sppagebuilder,,,,,,,False,False,False,False
